"","treat","age","educ","black","hispan","married","nodegree","re74","re75","re78","distance","weights","id"
"PSID355",0,19,9,1,0,0,1,384.0163,0,0,0.683083356302323,1,320
"PSID356",0,36,1,1,0,0,1,348.7495,0,0,0.437396412957933,1,321
"PSID357",0,18,11,0,0,0,1,321.3198,0,7722.599,0.120675084650661,1,322
"PSID358",0,16,7,0,1,0,1,289.9715,0,7515.717,0.157499662016241,1,323
"PSID361",0,37,12,0,0,0,0,48.98167,0,877.7696,0.0986130599111507,1,324
"PSID362",0,26,12,0,1,1,0,47.0224,0,0,0.0966845922181064,1,325
"PSID365",0,16,8,0,0,0,1,0,0,2559.422,0.077381771145953,1,326
"PSID366",0,16,9,0,1,0,1,0,0,0,0.208577084105452,1,327
"PSID367",0,18,10,1,0,0,1,0,0,2281.61,0.719316011109816,1,328
"PSID368",0,40,11,1,0,1,1,0,0,0,0.649617998074983,1,329
"PSID370",0,16,9,1,0,0,1,0,0,2158.959,0.678788610815094,1,330
"PSID371",0,26,14,0,0,0,0,0,0,6717.745,0.113030871151323,1,331
"PSID372",0,20,9,1,0,0,1,0,0,6083.8,0.692390418570937,1,332
"PSID373",0,20,12,1,0,0,0,0,0,0,0.642892885866401,1,333
"PSID374",0,18,11,1,0,0,1,0,0,0,0.750705445463591,1,334
"PSID375",0,46,11,1,0,1,1,0,0,2820.98,0.670847998634019,1,335
"PSID376",0,17,8,1,0,0,1,0,0,12760.17,0.64626932475575,1,336
"PSID379",0,33,12,0,1,1,0,0,0,5841.453,0.107091249884857,1,337
"PSID380",0,34,12,1,0,1,0,0,0,18716.88,0.494177281115435,1,338
"PSID381",0,21,13,1,0,0,0,0,0,17941.08,0.682444001158633,1,339
"PSID384",0,31,4,0,1,0,1,0,0,1161.493,0.129723905395078,1,340
"PSID385",0,19,12,0,1,0,0,0,0,18573.55,0.181002699695864,1,341
"PSID386",0,20,12,1,0,0,0,0,0,11594.24,0.642892885866401,1,342
"PSID387",0,55,4,1,0,0,1,0,0,0,0.635753876342245,1,343
"PSID388",0,19,11,1,0,0,1,0,0,16485.52,0.753646379921675,1,344
"PSID389",0,18,11,1,0,0,1,0,0,7146.286,0.750705445463591,1,345
"PSID390",0,48,13,0,0,1,0,0,0,0,0.062592431747844,1,346
"PSID391",0,16,9,0,1,1,1,0,0,6821.186,0.102879012138746,1,347
"PSID392",0,17,10,1,0,0,1,0,0,0,0.716119619050936,1,348
"PSID395",0,53,12,0,0,0,0,0,0,0,0.123815727078362,1,349
"PSID398",0,17,8,1,0,0,1,0,0,4520.366,0.64626932475575,1,350
"PSID399",0,27,14,1,0,0,0,0,0,10122.43,0.735166484894352,1,351
"PSID400",0,37,8,1,0,0,1,0,0,648.722,0.714679672958218,1,352
"PSID401",0,17,10,1,0,0,1,0,0,1053.619,0.716119619050936,1,353
"PSID404",0,55,7,0,0,0,1,0,0,0,0.116658047872861,1,354
"PSID405",0,21,15,0,0,0,0,0,0,0,0.121561277220313,1,355
"PSID406",0,16,10,1,0,0,1,0,0,1730.418,0.712901355171626,1,356
"PSID408",0,46,11,1,0,1,1,0,0,0,0.670847998634019,1,357
"PSID409",0,17,10,0,0,0,1,0,0,14942.77,0.105262470116241,1,358
"PSID410",0,42,16,0,0,0,0,0,0,23764.8,0.184657982095104,1,359
"PSID411",0,18,10,1,0,0,1,0,0,5306.516,0.719316011109816,1,360
"PSID412",0,53,12,1,0,0,0,0,0,0,0.751865346616845,1,361
"PSID416",0,34,12,1,0,0,0,0,0,0,0.691858282747899,1,362
"PSID417",0,16,8,0,1,0,1,0,0,12242.96,0.183197775461723,1,363
"PSID419",0,51,4,1,0,0,1,0,0,0,0.621018484385437,1,364
"PSID420",0,39,2,1,0,1,1,0,0,964.9555,0.299395422263102,1,365
"PSID423",0,27,10,1,0,0,1,0,0,7543.794,0.747073562696125,1,366
"PSID424",0,25,14,0,0,0,0,0,0,0,0.111458773226868,1,367
"PSID425",0,18,11,0,0,0,1,0,0,10150.5,0.123143877157095,1,368
"PSID427",0,21,18,0,0,0,0,0,0,0,0.183350997945212,1,369
"PSID428",0,32,5,1,0,1,1,0,0,187.6713,0.383032305709167,1,370
